m49_code,country,region,cpc_code,commodity,year,loss_percentage,food_supply_stage,treatment,cause_of_loss,sample_size,method_data_collection,reference,url,notes
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2010,3.3,Storage,At 40 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22427 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2010,3.0,Storage,At 30 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22417 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2010,5.0,Storage,At 20 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22419 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2010,3.0,Storage,At 20 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22422 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2010,4.0,Storage,At 40 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22418 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2010,3.5,Storage,At 30 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22411 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2010,4.0,Storage,,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22413 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2010,5.5,Storage,At 20 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22410 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2010,2.7,Storage,At 40 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22424 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2010,1.5,Storage,At 30 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22423 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2010,3.0,Storage,At 40 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22415 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2010,4.0,Storage,At 20 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22425 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2010,4.5,Storage,At 20 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22416 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2010,3.0,Storage,At 30 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22420 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2010,2.5,Storage,At 30 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22426 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2009,5.0,Storage,At 20 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22419 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2009,4.5,Storage,At 20 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22416 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2009,1.5,Storage,At 30 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22423 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2009,4.0,Storage,At 40 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22421 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2009,3.0,Storage,At 30 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22420 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2009,2.7,Storage,At 40 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22424 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2009,3.3,Storage,At 40 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22427 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2009,3.0,Storage,At 40 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22415 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2009,2.5,Storage,At 30 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22426 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2009,4.0,Storage,At 40 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22418 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2009,4.0,Storage,At 20 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22425 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2009,5.5,Storage,At 20 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22410 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2009,3.0,Storage,At 30 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22417 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2009,3.0,Storage,At 20 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22422 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2009,1.8,Storage,At 30 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22414 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2009,4.5,Storage,At 40 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22412 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2009,3.5,Storage,At 30 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22411 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2009,4.0,Storage,,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22413 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2008,4.0,Storage,At 20 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22425 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2008,1.8,Storage,At 30 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22414 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2008,4.0,Storage,At 40 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22418 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2008,1.5,Storage,At 30 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22423 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2008,4.0,Storage,At 40 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22421 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2008,3.0,Storage,At 30 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22420 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2008,3.0,Storage,At 30 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22417 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2008,3.0,Storage,At 40 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22415 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2008,5.5,Storage,At 20 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22410 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2008,2.7,Storage,At 40 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22424 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2008,2.5,Storage,At 30 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22426 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2008,3.3,Storage,At 40 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22427 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2008,4.5,Storage,At 20 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22416 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2008,3.5,Storage,At 30 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22411 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2008,3.0,Storage,At 20 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22422 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2008,4.5,Storage,At 40 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22412 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2008,4.0,Storage,,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22413 based on the period_years.
586,Pakistan,,1316,"Mangoes, guavas and mangosteens",2008,5.0,Storage,At 20 degree celsius,,,Field Trial/Experimental Design,"M.K. Baloch, F. Bibi / South African Journal of Botany 83 (2012) 109–116",,Expanded from loss factor 22419 based on the period_years.
586,Pakistan,,1234,Tomatoes,2007,20.0,,,,,Literature Review,Mujib et al 2007,http://ucanr.edu/datastoreFiles/234-1847.pdf; http://ucce.ucdavis.edu/files/datastore/234-1848.pdf,
591,Panama,Chiriqui,1212,Cabbages,2013,24.0,,,,,Expert Opinion,,http://www.forumdofuturo.com.br/site/wp-content/uploads/2015/08/IICA.-2013.-Post-Harvest-Losses-in-Latin-America-and-the-Caribbean.pdf,url not found
591,Panama,Chiriqui,1214,Lettuce and chicory,2013,24.0,,,,,Expert Opinion,,http://www.forumdofuturo.com.br/site/wp-content/uploads/2015/08/IICA.-2013.-Post-Harvest-Losses-in-Latin-America-and-the-Caribbean.pdf,url not found
591,Panama,Chiriqui,1234,Tomatoes,2013,24.0,,,,,,,http://www.forumdofuturo.com.br/site/wp-content/uploads/2015/08/IICA.-2013.-Post-Harvest-Losses-in-Latin-America-and-the-Caribbean.pdf,
591,Panama,Chiriqui,1253.01,"Onions and shallots, green",2013,24.0,,,,,Expert Opinion,,http://www.forumdofuturo.com.br/site/wp-content/uploads/2015/08/IICA.-2013.-Post-Harvest-Losses-in-Latin-America-and-the-Caribbean.pdf,url not found
600,Paraguay,,1354,Strawberries,2013,11.5,Storage,,Pest/ Disease,,No Data Collection Specified,,http://www.fao.org/fileadmin/user_upload/hlpe/hlpe_documents/Critical_Emerging_Issues/HLPE_Inquiry_Full_Proceedings__27-April-2014.pdf,
600,Paraguay,,1354,Strawberries,2013,12.0,Storage,,Pest/ Disease,,No Data Collection Specified,,http://www.fao.org/fileadmin/user_upload/hlpe/hlpe_documents/Critical_Emerging_Issues/HLPE_Inquiry_Full_Proceedings__27-April-2014.pdf,
608,Philippines,"grown in Tupi, South Cotabato, in Mindanao, and distributed in various supermarkets in Metro Manila",1317,Papayas,2012,9.2,Wholesale,,Sorting,,No Data Collection Specified,Esguerra et al,http://aciar.gov.au/files/pr139.pdf,
608,Philippines,"Mindanao, Philippines",1214,Lettuce and chicory,2011,11.5,Wholesale,,Spoilage,127,Survey,Llanto et al,http://aciar.gov.au/files/pr139.pdf,
608,Philippines,"Mindanao, Philippines",1234,Tomatoes,2011,10.8,Wholesale,,Spoilage,127,Survey,Llanto et al,http://aciar.gov.au/files/pr139.pdf,
608,Philippines,"Mindanao, Philippines",1317,Papayas,2011,15.3,Wholesale,,Spoilage,127,Survey,Llanto et al,http://aciar.gov.au/files/pr139.pdf,
608,Philippines,"Mindanao, Philippines",1317,Papayas,2011,13.0,Transport,,Private Vehicle (Truck),36,Survey,Llanto et al,http://aciar.gov.au/files/pr139.pdf,
608,Philippines,"Mindanao, Philippines",1317,Papayas,2011,8.9,Transport,,Public Utility Vehicle/Motorcycleb,36,Survey,Llanto et al,http://aciar.gov.au/files/pr139.pdf,
608,Philippines,"Mindanao, Philippines",1317,Papayas,2011,2.5,Transport,,Freight Handler,36,Survey,Llanto et al,http://aciar.gov.au/files/pr139.pdf,
608,Philippines,"Mindanao, Philippines",1317,Papayas,2011,15.7,Transport,,Shipping Line,36,Survey,Llanto et al,http://aciar.gov.au/files/pr139.pdf,
624,Guinea-Bissau,,1313,Plantains and cooking bananas,2013,35.0,Whole supply chain,,"rough handling, unprotected storage conditions, and poor transportation",,No Data Collection Specified,Cauthen et al. (2013),http://www.mod.gov.tr/Lists/RecentPublications/Attachments/120/Reducing%20Postharvest%20Losses%20in%20the%20OIC%20Member%20Countries.pdf,
646,Rwanda,,1234,Tomatoes,2010,4.9,Farm,,"rough handling, the effects of high ambient temperatures and poor quality
package",10,Case Study,Kitinoja,http://ucanr.edu/datastoreFiles/234-1847.pdf,
646,Rwanda,,1234,Tomatoes,2010,10.6,Wholesale,,"rough handling, the effects of high ambient temperatures and poor quality
package",10,Case Study,Kitinoja,http://ucanr.edu/datastoreFiles/234-1847.pdf,
646,Rwanda,,1234,Tomatoes,2010,10.6,Retail,,"rough handling, the effects of high ambient temperatures and poor quality
package",10,Case Study,Kitinoja,http://ucanr.edu/datastoreFiles/234-1847.pdf,
646,Rwanda,,1312,Bananas,2010,7.4,Farm,,,10,Case Study,Kitinoja,http://ucanr.edu/datastoreFiles/234-1847.pdf,
646,Rwanda,,1312,Bananas,2010,15.1,Retail,,,10,Case Study,Kitinoja,http://ucanr.edu/datastoreFiles/234-1847.pdf,
646,Rwanda,,1312,Bananas,2010,15.1,Wholesale,,,10,Case Study,Kitinoja,http://ucanr.edu/datastoreFiles/234-1847.pdf,
646,Rwanda,,1318,Pineapples,2010,11.5,Wholesale,,,10,Case Study,Kitinoja,http://ucanr.edu/datastoreFiles/234-1847.pdf,
646,Rwanda,,1318,Pineapples,2010,5.9,Farm,,,10,Case Study,Kitinoja,http://ucanr.edu/datastoreFiles/234-1847.pdf,
646,Rwanda,,1318,Pineapples,2010,11.5,Retail,,,10,Case Study,Kitinoja,http://ucanr.edu/datastoreFiles/234-1847.pdf,
646,Rwanda,,1312,Bananas,2009,7.4,Retail,Exposed to ambient conditions packed in sacks,Heat,,Survey,L. Kitinoja and H.Y. AlHassan (2012),,
646,Rwanda,,1312,Bananas,2009,34.1,Wholesale,Handled in hand without packaging,Poor handling,,Survey,L. Kitinoja and H.Y. AlHassan (2012),,
646,Rwanda,,1312,Bananas,2009,17.9,Farm,Handled in hand without packaging,Poor handling,,Survey,L. Kitinoja and H.Y. AlHassan (2012),,
646,Rwanda,,1312,Bananas,2009,27.3,Retail,Handled in hand without packaging,Poor handling,,Survey,L. Kitinoja and H.Y. AlHassan (2012),,
646,Rwanda,,1318,Pineapples,2009,2.9,Retail,Exposed to ambient conditions packed in sacks,Heat,,Survey,L. Kitinoja and H.Y. AlHassan (2012),,
646,Rwanda,,1234,Tomatoes,2009,10.7,Wholesale,,Physical Losses,"10, planning project",,ISAR/KIST,http://ucanr.edu/datastoreFiles/234-1847.pdf,
646,Rwanda,,1234,Tomatoes,2009,2.0,Farm,,Mechanical Damage,"10, planning project",Rapid Assessment,ISAR/KIST,http://ucanr.edu/datastoreFiles/234-1847.pdf,
646,Rwanda,,1234,Tomatoes,2009,14.7,Retail,,Physical Losses,"10, planning project",,ISAR/KIST,http://ucanr.edu/datastoreFiles/234-1847.pdf,
646,Rwanda,,1234,Tomatoes,2009,11.0,Wholesale,,Mechanical Damage,"10, planning project",Rapid Assessment,ISAR/KIST,http://ucanr.edu/datastoreFiles/234-1847.pdf,
646,Rwanda,,1234,Tomatoes,2009,6.5,Retail,,Decay,"10, planning project",Rapid Assessment,ISAR/KIST,http://ucanr.edu/datastoreFiles/234-1847.pdf,
646,Rwanda,,1234,Tomatoes,2009,6.0,Farm,,Decay,"10, planning project",Rapid Assessment,ISAR/KIST,http://ucanr.edu/datastoreFiles/234-1847.pdf,
646,Rwanda,,1234,Tomatoes,2009,12.5,Retail,,Mechanical Damage,"10, planning project",Rapid Assessment,ISAR/KIST,http://ucanr.edu/datastoreFiles/234-1847.pdf,
646,Rwanda,,1234,Tomatoes,2009,7.0,Wholesale,,Decay,"10, planning project",Rapid Assessment,ISAR/KIST,http://ucanr.edu/datastoreFiles/234-1847.pdf,
646,Rwanda,,1234,Tomatoes,2009,7.8,Farm,,Physical Losses,"10, planning project",,ISAR/KIST,http://ucanr.edu/datastoreFiles/234-1847.pdf,
646,Rwanda,,1312,Bananas,2009,9.5,Wholesale,,Decay,"10, planning project",Rapid Assessment,ISAR/KIST,http://ucanr.edu/datastoreFiles/234-1847.pdf,
646,Rwanda,,1312,Bananas,2009,7.5,Farm,,Mechanical Damage,"10, planning project",Rapid Assessment,ISAR/KIST,http://ucanr.edu/datastoreFiles/234-1847.pdf,
646,Rwanda,,1312,Bananas,2009,14.8,Farm,,Physical Losses,"10, planning project",Rapid Assessment,ISAR/KIST,http://ucanr.edu/datastoreFiles/234-1847.pdf,
646,Rwanda,,1312,Bananas,2009,35.1,Wholesale,,Physical Losses,"10, planning project",Rapid Assessment,ISAR/KIST,http://ucanr.edu/datastoreFiles/234-1847.pdf,
646,Rwanda,,1312,Bananas,2009,30.1,Retail,,Physical Losses,"10, planning project",,ISAR/KIST,http://ucanr.edu/datastoreFiles/234-1847.pdf,
646,Rwanda,,1312,Bananas,2009,35.1,Wholesale,,Physical Losses,"10, planning project",,ISAR/KIST,http://ucanr.edu/datastoreFiles/234-1847.pdf,
646,Rwanda,,1312,Bananas,2009,19.0,Wholesale,,Mechanical Damage,"10, planning project",Rapid Assessment,ISAR/KIST,http://ucanr.edu/datastoreFiles/234-1847.pdf,
646,Rwanda,,1312,Bananas,2009,14.8,Farm,,Physical Losses,"10, planning project",,ISAR/KIST,http://ucanr.edu/datastoreFiles/234-1847.pdf,
646,Rwanda,,1312,Bananas,2009,25.0,Retail,,Mechanical Damage,"10, planning project",Rapid Assessment,ISAR/KIST,http://ucanr.edu/datastoreFiles/234-1847.pdf,
646,Rwanda,,1312,Bananas,2009,30.1,Retail,,Physical Losses,"10, planning project",Rapid Assessment,ISAR/KIST,http://ucanr.edu/datastoreFiles/234-1847.pdf,
646,Rwanda,,1318,Pineapples,2009,15.9,Retail,,Physical Losses,"10, planning project",Rapid Assessment,ISAR/KIST,http://ucanr.edu/datastoreFiles/234-1847.pdf,
646,Rwanda,,1318,Pineapples,2009,17.0,Wholesale,,Physical Losses,"10, planning project",,ISAR/KIST,http://ucanr.edu/datastoreFiles/234-1847.pdf,
646,Rwanda,,1318,Pineapples,2009,15.9,Retail,,Physical Losses,"10, planning project",,ISAR/KIST,http://ucanr.edu/datastoreFiles/234-1847.pdf,
646,Rwanda,,1318,Pineapples,2009,17.0,Wholesale,,Physical Losses,"10, planning project",Rapid Assessment,ISAR/KIST,http://ucanr.edu/datastoreFiles/234-1847.pdf,
646,Rwanda,,1318,Pineapples,2009,20.0,Wholesale,,Mechanical Damage,"10, planning project",Rapid Assessment,ISAR/KIST,http://ucanr.edu/datastoreFiles/234-1847.pdf,
646,Rwanda,,1318,Pineapples,2009,11.8,Farm,,Mechanical Damage,"10, planning project",Rapid Assessment,ISAR/KIST,http://ucanr.edu/datastoreFiles/234-1847.pdf,
646,Rwanda,,1318,Pineapples,2009,2.0,Retail,,Decay,"10, planning project",Rapid Assessment,ISAR/KIST,http://ucanr.edu/datastoreFiles/234-1847.pdf,
646,Rwanda,,1318,Pineapples,2009,2.9,Wholesale,,Decay,"10, planning project",Rapid Assessment,ISAR/KIST,http://ucanr.edu/datastoreFiles/234-1847.pdf,
646,Rwanda,,1318,Pineapples,2009,10.4,Farm,,Physical Losses,"10, planning project",Rapid Assessment,ISAR/KIST,http://ucanr.edu/datastoreFiles/234-1847.pdf,
646,Rwanda,,1318,Pineapples,2009,21.0,Retail,,Mechanical Damage,"10, planning project",Rapid Assessment,ISAR/KIST,http://ucanr.edu/datastoreFiles/234-1847.pdf,
646,Rwanda,,1318,Pineapples,2009,10.4,Farm,,Physical Losses,"10, planning project",,ISAR/KIST,http://ucanr.edu/datastoreFiles/234-1847.pdf,
659,Saint Kitts and Nevis,,1243,"Broad beans and horse beans, green",2016,30.0,Post-harvest,,,,Survey,,http://www.mod.gov.tr/Lists/RecentPublications/Attachments/120/Reducing%20Postharvest%20Losses%20in%20the%20OIC%20Member%20Countries.pdf,
662,Saint Lucia,,1234,Tomatoes,2015,5.0,Retail,,,,Survey,FAO (2015),,
662,Saint Lucia,,1234,Tomatoes,2015,7.0,Harvest,,,,Survey,FAO (2015),,
662,Saint Lucia,,1234,Tomatoes,2015,8.0,Processing,,,,Survey,FAO (2015),,
662,Saint Lucia,,1316,"Mangoes, guavas and mangosteens",2015,13.0,Processing,,,,Survey,FAO (2015),,
662,Saint Lucia,,1316,"Mangoes, guavas and mangosteens",2015,8.0,Harvest,,,,Survey,FAO (2015),,
662,Saint Lucia,,1316,"Mangoes, guavas and mangosteens",2015,2.0,Retail,,,,Survey,FAO (2015),,
662,Saint Lucia,,1312,Bananas,2013,30.0,,,,,Expert Opinion,,http://www.forumdofuturo.com.br/site/wp-content/uploads/2015/08/IICA.-2013.-Post-Harvest-Losses-in-Latin-America-and-the-Caribbean.pdf,url not found
662,Saint Lucia,,1318,Pineapples,2013,30.0,,,,,Expert Opinion,,http://www.forumdofuturo.com.br/site/wp-content/uploads/2015/08/IICA.-2013.-Post-Harvest-Losses-in-Latin-America-and-the-Caribbean.pdf,url not found
704,Viet Nam,,1234,Tomatoes,2008,19.1,Whole supply chain,,,,Survey,Weinberger et al 2008,http://ucce.ucdavis.edu/files/datastore/234-1479.pdf,
752,Sweden,,1242,"Peas, green",2017,21.4,Farm,"Better harvesting and processing machinery, better cultivars, better (more environmentally friendly) pesticides and better market prices.","Major reasons are
harvesting and
handling and did not
have enough time to
harvest all.
Other reasons
include weather
conditions, wrong
size and appearance,
agricultural
problems",,Survey,FoodLossPrimaryProd.pdf,,"The peas are sown between March and June in order to be harvested at different
times."
752,Sweden,,1242,"Peas, green",2017,8.2,Processing,,"On average, of the two companies’ total production, 3.3% was not harvested, 1% was lost
during harvesting, 7.8% was lost during cleaning and washing, 8.6% was lost during
blanching and freezing, 0.7% was lost during colour sorting and 0% was lost during sales
and reclamation. No company responded that there were losses at any other step.","A questionnaire composed by the Swedish Board of Agriculture was sent during 2014
to the three Swedish commercial buyers of green peas. Two companies responded to
the survey. There were seven questions in the questionnaire, all of which concerned
production during 2013. The two responding companies had answered all the
questions, and had added some of their own comments. In addition, further questions
were asked during telephone interviews with the two companies, mainly concerning
the reasons for the losses in production.
The two responding companies both produced only green peas and not field peas.
Both companies performed all of the following steps: harvesting, cleaning, washing,
size sorting, blanching, freezing and packaging. No company responded that they
performed any other production step.",Survey,FoodLossPrimaryProd.pdf,,"The peas are sown between March and June in order to be harvested at different
times."
752,Sweden,,1242,"Peas, green",2017,3.3,Pre-harvest,,"On average, of the two companies’ total production, 3.3% was not harvested, 1% was lost
during harvesting, 7.8% was lost during cleaning and washing, 8.6% was lost during
blanching and freezing, 0.7% was lost during colour sorting and 0% was lost during sales
and reclamation. No company responded that there were losses at any other step.","A questionnaire composed by the Swedish Board of Agriculture was sent during 2014
to the three Swedish commercial buyers of green peas. Two companies responded to
the survey. There were seven questions in the questionnaire, all of which concerned
production during 2013. The two responding companies had answered all the
questions, and had added some of their own comments. In addition, further questions
were asked during telephone interviews with the two companies, mainly concerning
the reasons for the losses in production.
The two responding companies both produced only green peas and not field peas.
Both companies performed all of the following steps: harvesting, cleaning, washing,
size sorting, blanching, freezing and packaging. No company responded that they
performed any other production step.",Survey,FoodLossPrimaryProd.pdf,,"The peas are sown between March and June in order to be harvested at different
times."
